PART,CONDITION
FCU FILTER,Not Detected
FCU FILTER,Not Detected
FCU FILTER,Not Detected
FCU FILTER,Not Detected
FCU FILTER,Not Detected
FCU FILTER,Not Detected
Not Detected,NOT ENGAGING
FAN COIL UNIT,Not Detected
FAN COIL UNIT,Not Detected
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
CKT CARD,INOPERABLE
FCU FILTERS,REPLACING
FCU FILTERS,FANROOM
Not Detected,Not Detected
INPUT POWER FUSES,Not Detected
FILTERS,DEGRADED
MOTOR,SEIZED
Not Detected,FAULTY
FCU,Not Detected
A/C,LEAKING
BROKE,Not Detected
FCU FILTER,REPLACEMENT
Not Detected,WORN LATCH ON COVER
Not Detected,Not Detected
VENT COVER,MISSING
OF FILTERS,REPLACEMENT
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
SW STRAINER,LEAKS
SW STRAINER,LEAKS
SW STRAINER,LEAKS
SW STRAINER,LEAKS
FCU FAN FILTER,Not Detected
LIGHTING TRANSFORMER.,FAILED
FILTERS,Not Detected
TO INSTALL SWITCHES,Not Detected
MAC MOTOR,Not Detected
AND WORN,DEGRADED
FILTER,REPLACEMENT
CONDENSOR,INOP
CONDENSOR,INOP
CONDENSOR,INOP
Not Detected,FCA
Not Detected,PMS
GRATING,CORRODED
?,Not Detected
?,Not Detected
LAGGING,DAMAGED
AIR FILTERS,DEGRADED
AIR FILTERS,DEGRADED
Not Detected,INOP
MACH,Not Detected
MAIN COTROLLER,Not Detected
AND WORN,DEGRADED
TROUBLESHOOT,Not Detected
BOLTS,DAMAGED
BEARINGS,REPLACE
PUMP,DEGRADED
VENT FAN,Not Detected
ALARM,FAULTY
Not Detected,LACK OF REPAIR PARTS
FILTERS,DAMAGED
Not Detected,WORN GASKET
RELAY HYBRID,TO ORDER
NEW FILTER,Not Detected
NEW FILTER,Not Detected
FILTER,NEEDS TO BE REPLACED
FILTER,NEEDS TO BE REPLACED
Not Detected,WORN
Not Detected,PMS
Not Detected,Not Detected
Not Detected,LIGHTS
BOLTS,MISSING
AIR FILTERS,DIRTY
AIR FILTERS,DIRTY
AIR FILTERS,DIRTY
THERMOSTAT,INOPERABLE
Not Detected,Not Detected
ACCES PANELS,DEGRADED
ELEMENT,Not Detected
AIR FILTERS,DIRTY
AIR FILTERS,DIRTY
AIR FILTERS,DEGRADED
SIGHT GLASS,LEAK
Not Detected,Not Detected
Not Detected,Not Detected
SCREWS,REPLACEMENT
NEW FILTERS,Not Detected
VLV,Not Detected
INDICATOR,LIGHT
MAN HOURS JANUARY,ZIDL
AIR FILTERS,Not Detected
VENT,Not Detected
FILTER,Not Detected
INDICATOR,LIGHT
VENT RECIRT,Not Detected
CONTROLLER PARTS,DEGRADED
INSPECTION MAINTENANCE,SPACE
COIL,NEEDS REPLACED
LANTERN,INOPERABLE
Not Detected,Not Detected
LAGGING,DEGRADED
FILTER,REPLACE
AIR,MOVING
#,CLASSROOM
VSD MISSION,FAULTY
ALARM MODULE,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
WHEEL,BROKEN
Not Detected,Not Detected
THERMOSTAT,FAULTY
COIL UNIT,LEAKING
BEARINGS,FAULTY
BEARINGS,FAULTY
DRAIN PAN,DAMAGED
Not Detected,Not Detected
SCUTTLE,MISSING
21MC,FAULTY
VENTILATION,GROUND
INDICATOR,MISSING
VENT DIFFUSER,Not Detected
MOTOR FAN,SEIZED
FAN MOTOR,SEIZED
FAN MOTOR,SEIZED
MOTOR FAN,SEIZED
SEZIED FAN MOTOR,Not Detected
FAN MOTOR,SEIZED
FAN MOTOR,SEIZED
FILTERS,REQUIRED
AIR FILTER,DIRTY
CORRECTIVE MAINTENANCE,Not Detected
5MC LOUDSPEAKER,DEGRADED
CONTROL PANEL,FAULT
CONDENSER ZINCS,Not Detected
BEARINGS,FAULTY
BOLT,BROKEN
FCU FILTERS,DEGRADED
ANNOUNCISNG SYSTEM MALFUNCTION,Not Detected
DUCT HEATER,Not Detected
VENT COVER,Not Detected
GASKET,Not Detected
PCC CAP MODULE,LIGHT
PIPING  ASSESSMENT,Not Detected
Not Detected,ASSESSMENT
VENTILATION SYSTEM,ASSESSMENT
VENTILATION SYSTEM,ASSESSMENT
VENTILATION SYSTEM,ASSESSMENT
Not Detected,Not Detected
Not Detected,INOP
Not Detected,Not Detected
VENT SYSTEM,LEAKING
AIR FILTER,NEEDS REPLACED
LAGGING,DETERIORATED
Not Detected,LEAKING
LAGGING,DETERIORATED
UNIT CLR,LEAKING
FCU,LEAKING
FCU,LEAKING
DUCT,DEGRADED
BEARING,DAMAGED
Not Detected,CORROSION
Not Detected,Not Detected
AIR FILTER,NEEDS REPLACED
CLEANING STATIONS,Not Detected
AIR FILTER,NEEDS REPLACED
FILTERS,Not Detected
FCU,Not Detected
FAN,BROKEN
Not Detected,CABLE
Not Detected,MAINTAINING
FAN COIL UNIT,FAULTY
FILTER,REPLACE
Not Detected,Not Detected
FILTERS,REPLACEMENT
FILTER,REPLACEMENT
FILTER,REPLACEMENT
FILTERS,DIRTY
EQPT,MISSING
SCREWS,MISSING
EQPT,MISSING
MOTOR,INOP
4ACSW STRAINER,Not Detected
Not Detected,Not Detected
FAN MOTOR,MISALIGNED
PRESERVATION,Not Detected
FILTERS,DIRTY
Not Detected,Not Detected
AIR FILTERS,ORDER
SPEAKER SCREEN,DAMAGED
FILTERS,DIRTY
LAGGING,RELACEMENT
EXCESSIVE BEARING,NOISE
FILTERS,Not Detected
FCU FILTERS,DEGRADED
FCU,Not Detected
FCU,Not Detected
GASKET,DEGRADED
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
FILTERS,Not Detected
MOTOR,INOP
FILTER,REPLACEMENT
PREHEATER,LEAKING
FILTERS,Not Detected
FILTERS,Not Detected
FAN FILTER,Not Detected
AIR FILTERS,DIRTY
FILTER,REPLACEMENT
FCU,REPLACEMENT
FILTER,REPLACEMENT
FCU,REPLACEMENT
FCA,REPLACEMENT
MAC,REPLACEMENT
MAC,REPLACEMENT
MAC,REPLACEMENT
Not Detected,Not Detected
TEMP SWITCH,REPLACEMENT
TEMP SWITCH,REPLACEMENT
AIR FILTERS,Not Detected
AIR FILTERS,DEGRADED
AIR FILTERS,DEGRADED
AIR FILTERS,DEGRADED
AIR FILTERS,DEGRADED
AIR FILTERS,DEGRADED
AIR FILTERS,DEGRADED
AIR FILTERS,DEGRADED
AIR FILTERS,DEGRADED
FILTERS,REQUIRED
BATTERY,NOT HOLDING CHARGE
Not Detected,Not Detected
STUCK SHUT,CONT
RECIRC SYSTEM,LEAKING
BELT,BROKEN
FILTERS,DIRTY
MC FAULTY AMPLIFIERS,Not Detected
AMPLIFIERS,FAULTY
STUFFING TUBE,DEGRADED
FILTER,DIRTY
FILTER,DIRTY
BELT,BROKEN
Not Detected,BROKEN
FILTER,DIRTY
VENTILATION SYSTEM,Not Detected
ANNOUNCING TROUBLE CALLS,Not Detected
Y-STRAINER,LEAKING
6A/C,INOP
Not Detected,Not Detected
O-RING,Not Detected
FCU GASKET,DETERIORATED
THERMOSTATIC SWITCH,FAULTY
Not Detected,REACHING
FAN COIL UNIT,CORROSION
ANNOUNCING SYSTEM,T/
EXECESSIVE CORROSION,Not Detected
VALVE,NEEDS TO BE REPLACED
FCU,ORDER
Not Detected,Not Detected
COIL,Not Detected
COIL,Not Detected
FILTERS,BEYOND CLEANING
Not Detected,Not Detected
Not Detected,T/
FCU,LEAKING
VENT,INOP
LOCKER,LOOSE
FAN ACCESS NEEDED,Not Detected
Not Detected,T/
Not Detected,INOP
OIL FILTERS,Not Detected
FILTER,REPLACEMENT
FCU FILTERS,REPLACMENT
TESTING ERROR,PLACE
TESTING ERROR,PLACE
TESTING ERROR,PLACE
Not Detected,Not Detected
FCA,INOPERABLE
FILTERS,DIRTY
DIFFUSERS,DAMAGED
COMMS,Not Detected
NEW FILTER,Not Detected
FILTER,REPLACEMENT
FILTERS,WORN
NEW FILTERS,ORDER
FILTER,REPLACEMENT
VALVE HANDWHEELS,MISSING
1MC,INOP
O-RING,LEAK
VENTILATION DUCT,CORRODED
FCU SCREWS,MISSING
VLV,INOP
SOLENOID,INOP
RESISTOR,INOP
BELT,ORDER
Not Detected,Not Detected
THERMAL OVERLOAD,FAULTY
FAN 23 MOTOR BEARING,WEAR
PREHEATER,REPLACEMENT
FUSES,MISSING
1MC SPEAKER,DEGRADED
Not Detected,PMS
VENT DIFFUSER,MISSING
TEMP VLV,DEGRADED
FCU FILTER,Not Detected
FCU FILTER,Not Detected
BKR 2SWGR UNIT CLR,BROKEN
CLR,BROKEN
BRKR,BROKEN
MOTOR CONTROLLER,INOP
VENTILATION,Not Detected
VENTILATION,Not Detected
TRAINING,ENTERED
NEW DRIVE BELTS,ORDER
Not Detected,INOP
1MC LOUDSPEAKER,INOP
AIR FILTER,DIRTY
COOLING COIL,CORRODED
SCREWS,MISSING
SCREWS,MISSING
VENT PNL,DAMAGED
DIFFUSER,MISSING
VENT ACCESS COVER,Not Detected
SCREWS,MISSING
DUCT HEATER,Not Detected
PANEL SCREWS,MISSING
COOLING UNIT,.
DECK CORROSION ASSESSMENT,Not Detected
WIRE MESH CORROSION ASSESSMENT,Not Detected
CORROSION ASSESSMENT,Not Detected
TRANSDUCER,Not Detected
Not Detected,INOP
OVERLOADS,DEGRADED
GAGE,FAILED
VALVE,REGULATING
REGULATING VALVE,DEGRADED
FCU FILTER,REPLACEMENT
ACCESS PANEL,Not Detected
ZINCS,MUST BE REPLACED
Not Detected,RUPTURED
GAGE,BROKEN
TRANSDUCER,Not Detected
MOTOR,CONT
VENT SCREENS,Not Detected
NEW FILTERS,Not Detected
DIFFUSER,WORN
FCU FILTERS,Not Detected
FCU AIR FILTER,Not Detected
AIR FILTERS,FILTHY
FILTER,DIRTY
VENTILATION,INOP
VENTILATION,INOP
VENTILATION,INOP
FILTERS,DIRTY
SOLENOIDS,GAYLORD
SWITCH,CALIBRATION
FILTER,REPLACEMENT
BELTS,NEEDED
MAGNAHELIC GAUGE,INOP
NOT INDICATING,Not Detected
GAUGE,LEAKING
FAN LOCKING NUT,FAULTY
FCU FILTERS,REPLACE
DAMPER,INOP
Not Detected,CALIBRATION
Not Detected,CALIBRATION
FAN COIL UNIT HEAT BROKE,Not Detected
